Date,Winner,Loser,B365W,B365L,Year
2012-12-31,Mayer F.,Giraldo S.,1.36,3.0,2013
2012-12-31,Nieminen J.,Benneteau J.,1.61,2.2,2013
2012-12-31,Nishikori K.,Matosevic M.,1.25,3.75,2013
2012-12-31,Baghdatis M.,Mitchell B.,1.07,9.0,2013
2013-01-01,Istomin D.,Klizan M.,1.9,1.8,2013
2013-01-01,Millman J.,Ito T.,1.61,2.2,2013
2013-01-01,Falla A.,Levine J.,2.2,1.61,2013
2013-01-01,Melzer J.,Kudla D.,1.44,2.62,2013
2013-01-01,Robredo T.,Harrison R.,3.0,1.36,2013
2013-01-01,Dimitrov G.,Baker B.,1.36,3.0,2013
2013-01-01,Goffin D.,Ebden M.,1.57,2.25,2013
2013-01-01,Hewitt L.,Kunitsyn I.,1.2,4.33,2013
2013-01-02,Simon G.,Falla A.,1.22,4.0,2013
2013-01-02,Baghdatis M.,Mayer F.,1.44,2.62,2013
2013-01-02,Nishikori K.,Robredo T.,1.22,4.0,2013
2013-01-02,Dolgopolov O.,Nieminen J.,1.44,2.62,2013
2013-01-03,Dimitrov G.,Raonic M.,2.75,1.4,2013
2013-01-03,Melzer J.,Goffin D.,2.25,1.57,2013
2013-01-03,Istomin D.,Hewitt L.,1.83,1.83,2013
2013-01-03,Murray A.,Millman J.,1.02,17.0,2013
2013-01-04,Baghdatis M.,Simon G.,1.57,2.25,2013
2013-01-04,Nishikori K.,Dolgopolov O.,1.61,2.2,2013
2013-01-04,Dimitrov G.,Melzer J.,1.4,2.75,2013
2013-01-04,Murray A.,Istomin D.,1.11,6.5,2013
2013-01-05,Dimitrov G.,Baghdatis M.,1.72,2.0,2013
2013-01-05,Murray A.,Nishikori K.,1.18,4.5,2013
2013-01-06,Murray A.,Dimitrov G.,1.14,5.5,2013
2012-12-31,Soeda G.,Donskoy E.,1.9,1.8,2013
2012-12-31,Bedene A.,Sousa J.,1.36,3.0,2013
2012-12-31,Haase R.,Bhambri Y.,1.22,4.0,2013
2012-12-31,Roger-Vasselin E.,Kuznetsov An.,1.53,2.37,2013
2013-01-01,Bachinger M.,Lu Y.H.,3.0,1.36,2013
2013-01-01,Stebe C-M.,Sijsling I.,2.5,1.5,2013
2013-01-01,Amritraj P.,Rufin G.,2.75,1.4,2013
2013-01-01,Bautista R.,Kavcic B.,1.44,2.62,2013
2013-01-01,Paire B.,Cipolla F.,1.44,2.62,2013
2013-01-01,Devvarman S.,Hajek J.,1.44,2.62,2013
2013-01-01,Sela D.,Ram R.,1.53,2.37,2013
2013-01-01,Stakhovsky S.,Bemelmans R.,2.0,1.72,2013
2013-01-02,Bedene A.,Haase R.,2.2,1.61,2013
2013-01-02,Soeda G.,Amritraj P.,1.28,3.5,2013
2013-01-02,Tipsarevic J.,Roger-Vasselin E.,1.14,5.5,2013
2013-01-02,Wawrinka S.,Stebe C-M.,1.2,4.33,2013
2013-01-03,Paire B.,Sela D.,1.53,2.37,2013
2013-01-03,Cilic M.,Stakhovsky S.,1.18,4.5,2013
2013-01-03,Bautista R.,Bachinger M.,1.8,1.9,2013
2013-01-03,Berdych T.,Devvarman S.,1.07,9.0,2013
2013-01-04,Paire B.,Cilic M.,3.5,1.28,2013
2013-01-04,Bedene A.,Wawrinka S.,5.5,1.14,2013
2013-01-04,Tipsarevic J.,Soeda G.,1.1,7.0,2013
2013-01-04,Bautista R.,Berdych T.,10.0,1.06,2013
2013-01-05,Tipsarevic J.,Bedene A.,1.12,6.0,2013
2013-01-05,Bautista R.,Paire B.,2.25,1.57,2013
2013-01-06,Tipsarevic J.,Bautista R.,1.16,5.0,2013
2012-12-31,Bolelli S.,Gimeno-Traver D.,1.5,2.5,2013
2012-12-31,Lorenzi P.,Ramos A.,2.62,1.44,2013
2012-12-31,Davydenko N.,Hanescu V.,1.33,3.25,2013
2012-12-31,Zemlja G.,Fognini F.,1.57,2.25,2013
2012-12-31,Troicki V.,Phau B.,1.36,3.0,2013
2012-12-31,Kohlschreiber P.,Dodig I.,1.44,2.62,2013
2013-01-01,Lacko L.,Garcia-Lopez G.,1.57,2.25,2013
2013-01-01,Rosol L.,Andujar P.,1.36,3.0,2013
2013-01-01,Youzhny M.,Becker B.,1.22,4.0,2013
2013-01-01,Safwat M.,Ali Mutawa J.M.,1.02,19.0,2013
2013-01-01,Brands D.,Chardy J.,2.5,1.5,2013
2013-01-01,Gasquet R.,Hernych J.,1.12,6.0,2013
2013-01-01,Monfils G.,Zayed M. S.,1.02,19.0,2013
2013-01-01,Kamke T.,Ramirez-Hidalgo R.,1.12,6.0,2013
2013-01-01,Ferrer D.,Brown D.,1.03,15.0,2013
2013-01-01,Kubot L.,Lopez F.,2.62,1.44,2013
2013-01-02,Brands D.,Safwat M.,1.11,6.5,2013
2013-01-02,Lorenzi P.,Rosol L.,3.25,1.33,2013
2013-01-02,Davydenko N.,Youzhny M.,1.66,2.1,2013
2013-01-02,Bolelli S.,Kubot L.,2.62,1.44,2013
2013-01-02,Monfils G.,Kohlschreiber P.,2.37,1.53,2013
2013-01-02,Lacko L.,Troicki V.,2.2,1.61,2013
2013-01-02,Gasquet R.,Zemlja G.,1.16,5.0,2013
2013-01-02,Ferrer D.,Kamke T.,1.06,10.0,2013
2013-01-03,Brands D.,Monfils G.,4.33,1.2,2013
2013-01-03,Gasquet R.,Lacko L.,1.3,3.4,2013
2013-01-03,Ferrer D.,Lorenzi P.,1.02,17.0,2013
2013-01-03,Davydenko N.,Bolelli S.,1.16,5.0,2013
2013-01-04,Gasquet R.,Brands D.,1.2,4.33,2013
2013-01-04,Davydenko N.,Ferrer D.,3.5,1.28,2013
2013-01-05,Gasquet R.,Davydenko N.,2.37,1.57,2013
2013-01-07,Bellucci T.,Goffin D.,2.25,1.57,2013
2013-01-07,Malisse X.,Klizan M.,2.2,1.61,2013
2013-01-07,Rochus O.,Ramos A.,1.66,2.1,2013
2013-01-07,Baker B.,Janowicz J.,2.37,1.53,2013
2013-01-07,Sijsling I.,Haase R.,1.44,2.62,2013
2013-01-07,Lacko L.,Lorenzi P.,1.5,2.5,2013
2013-01-07,Giraldo S.,Soeda G.,2.0,1.72,2013
2013-01-08,Jones G.,Melzer J.,4.33,1.2,2013
2013-01-08,Falla A.,Zemlja G.,1.61,2.2,2013
2013-01-08,Levine J.,King-Turner D.,1.12,6.0,2013
2013-01-08,Monfils G.,Becker B.,1.5,2.5,2013
2013-01-08,Lu Y.H.,Paire B.,1.53,2.37,2013
2013-01-08,Querrey S.,Rochus O.,1.25,3.75,2013
2013-01-08,Malisse X.,Giraldo S.,2.2,1.61,2013
2013-01-09,Kohlschreiber P.,Falla A.,1.33,3.25,2013
2013-01-09,Lacko L.,Bellucci T.,2.0,1.72,2013
2013-01-09,Levine J.,Baker B.,1.66,2.1,2013
2013-01-09,Monfils G.,Jones G.,1.16,5.0,2013
2013-01-09,Haas T.,Sijsling I.,1.5,2.5,2013
2013-01-09,Ferrer D.,Lu Y.H.,1.1,7.0,2013
2013-01-09,Kohlschreiber P.,Malisse X.,1.38,2.87,2013
2013-01-10,Querrey S.,Levine J.,1.25,3.75,2013
2013-01-10,Ferrer D.,Lacko L.,1.08,8.0,2013
2013-01-10,Monfils G.,Haas T.,2.25,1.57,2013
2013-01-11,Kohlschreiber P.,Querrey S.,2.37,1.53,2013
2013-01-11,Ferrer D.,Monfils G.,1.16,5.0,2013
2013-01-12,Ferrer D.,Kohlschreiber P.,1.18,4.5,2013
2013-01-07,Istomin D.,Duckworth J.,1.14,5.5,2013
2013-01-07,Granollers M.,Ebden M.,1.53,2.37,2013
2013-01-07,Mayer F.,Sousa J.,1.18,4.5,2013
2013-01-07,Benneteau J.,Andujar P.,1.14,5.5,2013
2013-01-08,Lopez F.,Chardy J.,1.83,1.83,2013
2013-01-08,Stepanek R.,Garcia-Lopez G.,1.57,2.25,2013
2013-01-08,Millman J.,Robredo T.,2.5,1.5,2013
2013-01-08,Nieminen J.,Phau B.,1.5,2.5,2013
2013-01-08,Anderson K.,Bedene A.,1.22,4.0,2013
2013-01-08,Fognini F.,Dimitrov G.,3.75,1.25,2013
2013-01-08,Harrison R.,Bautista R.,1.3,3.4,2013
2013-01-08,Tomic B.,Matosevic M.,1.22,4.0,2013
2013-01-09,Benneteau J.,Stepanek R.,2.37,1.53,2013
2013-01-09,Istomin D.,Verdasco F.,2.1,1.66,2013
2013-01-09,Granollers M.,Fognini F.,1.57,2.25,2013
2013-01-09,Anderson K.,Lopez F.,1.4,2.75,2013
2013-01-09,Harrison R.,Isner J.,2.2,1.61,2013
2013-01-09,Nieminen J.,Klec I.,1.14,5.5,2013
2013-01-09,Seppi A.,Millman J.,1.4,2.75,2013
2013-01-09,Tomic B.,Mayer F.,1.53,2.37,2013
2013-01-10,Anderson K.,Istomin D.,1.53,2.37,2013
2013-01-10,Benneteau J.,Harrison R.,1.72,2.0,2013
2013-01-10,Tomic B.,Nieminen J.,1.36,3.0,2013
2013-01-10,Seppi A.,Granollers M.,1.66,2.1,2013
2013-01-11,Anderson K.,Benneteau J.,1.53,2.37,2013
2013-01-11,Tomic B.,Seppi A.,1.44,2.62,2013
2013-01-12,Tomic B.,Anderson K.,1.61,2.2,2013
2013-01-14,Almagro N.,Johnson S.,1.14,5.5,2013
2013-01-14,Nishikori K.,Hanescu V.,1.07,9.0,2013
2013-01-14,Rufin G.,Reister J.,2.25,1.57,2013
2013-01-14,Berlocq C.,Authom M.,2.2,1.61,2013
2013-01-14,Benneteau J.,Dimitrov G.,2.5,1.5,2013
2013-01-14,Gimeno-Traver D.,Kubot L.,3.25,1.33,2013
2013-01-14,Roger-Vasselin E.,Bemelmans R.,2.2,1.61,2013
2013-01-14,Malisse X.,Andujar P.,1.16,5.0,2013
2013-01-14,Verdasco F.,Goffin D.,1.61,2.2,2013
2013-01-14,Wawrinka S.,Stebe C.M.,1.12,6.0,2013
2013-01-14,Harrison R.,Giraldo S.,1.72,2.0,2013
2013-01-14,Donskoy E.,Ungur A.,1.3,3.4,2013
2013-01-14,Berdych T.,Russell M.,1.03,15.0,2013
2013-01-14,Djokovic N.,Mathieu P.H.,1.002,29.0,2013
2013-01-14,Youzhny M.,Ebden M.,1.16,5.0,2013
2013-01-14,Melzer J.,Kukushkin M.,1.14,5.5,2013
2013-01-14,Kamke T.,Cipolla F.,1.25,3.75,2013
2013-01-14,Baker B.,Bogomolov A.,1.72,2.0,2013
2013-01-14,Smyczek T.,Karlovic I.,2.0,1.72,2013
2013-01-14,Devvarman S.,Phau B.,3.0,1.36,2013
2013-01-14,Kuznetsov An.,Monaco J.,3.75,1.25,2013
2013-01-14,Lopez F.,Brugues-Davi A.,1.16,5.0,2013
2013-01-14,Ito T.,Millman J.,3.75,1.25,2013
2013-01-14,Janowicz J.,Bolelli S.,1.3,3.4,2013
2013-01-14,Ferrer D.,Rochus O.,1.02,19.0,2013
2013-01-14,Lacko L.,Muller G.,1.5,2.5,2013
2013-01-14,Stepanek R.,Troicki V.,2.5,1.5,2013
2013-01-14,Bautista R.,Fognini F.,2.0,1.72,2013
2013-01-14,Querrey S.,Munoz-De La Nava D.,1.07,9.0,2013
2013-01-14,Tipsarevic J.,Hewitt L.,1.61,2.2,2013
2013-01-14,Anderson K.,Lorenzi P.,1.07,9.0,2013
2013-01-14,Baghdatis M.,Ramos A.,1.08,8.0,2013
2013-01-15,Murray A.,Haase R.,1.01,23.0,2013
2013-01-15,Kavcic B.,Bellucci T.,3.25,1.33,2013
2013-01-15,Mayer F.,Williams R.,1.14,5.5,2013
2013-01-15,Sousa J.,Smith J.P.,1.61,2.2,2013
2013-01-15,Berankis R.,Stakhovsky S.,1.5,2.5,2013
2013-01-15,Seppi A.,Zeballos H.,1.2,4.33,2013
2013-01-15,Istomin D.,Sijsling I.,1.38,2.87,2013
2013-01-15,Raonic M.,Hajek J.,1.03,15.0,2013
2013-01-15,Soeda G.,Saville L.,1.14,5.5,2013
2013-01-15,Duckworth J.,Mitchell B.,1.53,2.37,2013
2013-01-15,Falla A.,Ouanna J.,1.28,3.5,2013
2013-01-15,Chardy J.,Menendez-Maceiras A.,1.2,4.33,2013
2013-01-15,Weintraub A.,Pella G.,2.0,1.72,2013
2013-01-15,Kohlschreiber P.,Darcis S.,1.11,6.5,2013
2013-01-15,Tsonga J.W.,Llodra M.,1.08,8.0,2013
2013-01-15,Federer R.,Paire B.,1.01,21.0,2013
2013-01-15,Levine J.,Robredo T.,1.61,2.2,2013
2013-01-15,Dodig I.,Wu D.,1.12,6.0,2013
2013-01-15,Granollers M.,Zemlja G.,1.61,2.2,2013
